hostname,role,app,env,loc,bu,type,ip,enforcement
swf-web03-prd,web,swift,prod,ny,banking,server,,selective
swf-web01-prd,web,swift,prod,ny,banking,server,,selective
inf-jh01-prd,jumpbox,jump-infra,prod,ca,it,server,,selective
inf-jh02-prd,jumpbox,jump-infra,prod,ca,it,server,,selective
exc-netapp01-prd,filer,exchange,prod,ny,it,server,10.30.100.5,selective
exc-netapp02-prd,filer,exchange,prod,ny,it,server,10.30.100.6,selective
ctr01,counter,packaging,prod,bos,manufacturing,server,10.40.100.2,selective
ctr02,counter,packaging,prod,bos,manufacturing,server,10.40.100.3,selective
ctr03,counter,packaging,prod,bos,manufacturing,server,10.40.100.4,selective
ctr04,counter,packaging,prod,bos,manufacturing,server,10.40.100.5,selective
ctr05,counter,packaging,prod,bos,manufacturing,server,10.40.100.6,selective
mac-endpoint-1,Workstations,users,Administrators,endpoint,it,endpoint,,selective
mac-endpoint-2,Workstations,users,Administrators,endpoint,it,endpoint,,selective
mac-endpoint-3,Workstations,users,Laptops,endpoint,commerce,endpoint,,selective
mac-endpoint-4,Workstations,users,Laptops,endpoint,commerce,endpoint,,selective
mac-endpoint-5,Workstations,users,Laptops,endpoint,commerce,endpoint,,selective
mac-endpoint-6,Workstations,users,Laptops,endpoint,commerce,endpoint,,selective
win-endpoint-1,Workstations,users,vdi,endpoint,commerce,endpoint,,selective
win-endpoint-2,Workstations,users,vdi,endpoint,commerce,endpoint,,selective
win-endpoint-3,Workstations,users,vdi,endpoint,commerce,endpoint,,selective
win-endpoint-4,Workstations,users,vdi,endpoint,commerce,endpoint,,selective
win-endpoint-5,Workstations,users,Administrators,endpoint,it,endpoint,,selective
win-endpoint-6,Workstations,users,Administrators,endpoint,it,endpoint,,selective
win-endpoint-7,Workstations,users,users,endpoint,commerce,endpoint,,selective
win-endpoint-8,Workstations,users,users,endpoint,commerce,endpoint,,selective
win-endpoint-9,Workstations,users,users,endpoint,commerce,endpoint,,selective
win-endpoint-10,Workstations,users,users,endpoint,commerce,endpoint,,selective
crmprodcadb1,db,CRM,prod,CA,,server,,selective
crmprodcaweb1,web,CRM,prod,CA,,server,,selective
erpprodcaweb1,web,ERP,Prod,CA,,server,,selective
erpprodcaweb2,web,ERP,Prod,CA,,server,,selective
erpprodcadb1,db,ERP,Prod,CA,,server,,selective
erpprodcadb2,db,ERP,Prod,CA,,server,,selective
devicesiotfrankfurtipcamera2,IPCamera,Devices,IoT,Frankfurt,,Workload,,
