src_ip,src_hostname,src_process,src_service,src_username,dst_ip,dst_hostname,dst_fqdn,port,proto,dst_process,dst_service,dst_username,policy_decision
45.54.45.46,,,,,10.0.0.197,ecm-web02-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.47,,,,,10.0.0.195,ecm-web01-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.48,,,,,10.0.2.135,pos-web03-stg,,443,6,httpd,,root,potentially_blocked
45.54.45.49,,,,,10.0.2.130,pos-web02-stg,,443,6,httpd,,root,potentially_blocked
45.54.45.50,,,,,10.0.2.71,pos-web06-stg,,443,6,httpd,,root,potentially_blocked
45.54.45.51,,,,,10.0.2.70,pos-web01-stg,,443,6,httpd,,root,potentially_blocked
45.54.45.52,,,,,10.0.0.79,pos-web01-pci,,443,6,httpd,,root,potentially_blocked
45.54.45.53,,,,,10.0.0.73,pos-web04-pci,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.135,swf-web03-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.6,prc-web03-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.30,prc-web02-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.21,prc-web01-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.25,ast-web03-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.36,ast-web01-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.8,ast-web02-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.131,swf-web02-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.136,exc-et02-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.139,exc-et01-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.141,swf-web01-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.0.3,ord-lb02-dev,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.0.5,ord-lb01-dev,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.23,hrm-web03-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.28,ord-lb01-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.19,ord-lb02-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.14,hrm-web02-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.2.6,pos-web04-stg,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.16,hrm-web01-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.2.7,pos-web05-stg,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.0.69,pos-web02-pci,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.0.70,pos-web03-pci,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.204,pay-web01-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.198,pay-web02-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.197,ord-web07-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.201,ord-web04-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.75,ord-web06-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.83,ord-web05-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.0.137,cat-web02-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.0.140,shc-web02-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.70,pay-web05-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.72,pay-web03-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.86,pay-web04-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.73,swf-web08-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.67,swf-web07-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.76,swf-web06-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.78,swf-web05-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.66,swf-web04-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.0.203,ecm-web06-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.0.194,ecm-web05-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.0.199,ecm-web04-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.0.196,ecm-web03-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.0.197,ecm-web02-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.0.195,ecm-web01-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.2.135,pos-web03-stg,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.2.130,pos-web02-stg,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.2.71,pos-web06-stg,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.2.70,pos-web01-stg,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.0.79,pos-web01-pci,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.0.73,pos-web04-pci,,443,6,httpd,,root,potentially_blocked
45.54.45.54,,,,,10.0.1.135,swf-web03-prd,,443,6,httpd,,root,potentially_blocked
45.102.100.49,,,,,10.0.0.69,pos-web02-pci,,443,6,httpd,,root,potentially_blocked
45.102.100.37,,,,,10.0.0.69,pos-web02-pci,,443,6,httpd,,root,potentially_blocked
45.102.100.25,,,,,10.0.0.70,pos-web03-pci,,443,6,httpd,,root,potentially_blocked
45.102.100.17,,,,,10.0.0.70,pos-web03-pci,,443,6,httpd,,root,potentially_blocked
45.102.100.107,,,,,10.0.0.69,pos-web02-pci,,443,6,httpd,,root,potentially_blocked
35.111.120.25,,,,,10.0.0.136,cat-web01-prd,,443,6,httpd,,root,potentially_blocked
135.29.19.19,,,,,10.0.0.140,shc-web02-prd,,443,6,httpd,,root,potentially_blocked
135.111.120.12,,,,,10.0.0.136,cat-web01-prd,,443,6,httpd,,root,potentially_blocked
10.0.1.26,prc-db02-prd,,,,10.0.1.3,inf-syslog01-prd,,514,6,rsyslogd,,root,potentially_blocked
10.0.1.26,prc-db02-prd,syslog,,root,10.0.1.3,inf-syslog01-prd,,514,6,,,,potentially_blocked
10.0.1.26,prc-db02-prd,chrony,,root,10.0.1.5,inf-time01-prd,,123,6,ntpd,,root,potentially_blocked
10.0.1.17,prc-db01-prd,syslog,,root,10.0.1.3,inf-syslog01-prd,,514,6,,,,potentially_blocked
10.0.1.17,prc-db01-prd,,,,10.0.1.3,inf-syslog01-prd,,514,6,rsyslogd,,root,potentially_blocked
10.0.1.17,prc-db01-prd,chrony,,root,10.0.1.5,inf-time01-prd,,123,6,ntpd,,root,potentially_blocked
10.0.1.12,prc-proc02-prd,syslog,,root,10.0.1.3,inf-syslog01-prd,,514,6,,,,potentially_blocked
10.0.1.12,prc-proc02-prd,,,,10.0.1.3,inf-syslog01-prd,,514,6,rsyslogd,,root,potentially_blocked
10.0.1.12,prc-proc02-prd,,,,10.0.1.26,prc-db02-prd,,3306,6,mysqld,,mysql,potentially_blocked
10.0.1.12,prc-proc02-prd,java,,tomcat,10.0.1.26,prc-db02-prd,,3306,6,,,,potentially_blocked
10.0.1.12,prc-proc02-prd,java,,tomcat,10.0.1.17,prc-db01-prd,,3306,6,,,,potentially_blocked
10.0.1.12,prc-proc02-prd,,,,10.0.1.17,prc-db01-prd,,3306,6,mysqld,,mysql,potentially_blocked
10.0.1.12,prc-proc02-prd,chrony,,root,10.0.1.5,inf-time01-prd,,123,6,ntpd,,root,potentially_blocked
10.0.1.4,prc-proc01-prd,,,,10.0.1.3,inf-syslog01-prd,,514,6,rsyslogd,,root,potentially_blocked
10.0.1.4,prc-proc01-prd,syslog,,root,10.0.1.3,inf-syslog01-prd,,514,6,,,,potentially_blocked
10.0.1.4,prc-proc01-prd,,,,10.0.1.26,prc-db02-prd,,3306,6,mysqld,,mysql,potentially_blocked
10.0.1.4,prc-proc01-prd,java,,tomcat,10.0.1.26,prc-db02-prd,,3306,6,,,,potentially_blocked
10.0.1.4,prc-proc01-prd,java,,tomcat,10.0.1.17,prc-db01-prd,,3306,6,,,,potentially_blocked
10.0.1.4,prc-proc01-prd,,,,10.0.1.17,prc-db01-prd,,3306,6,mysqld,,mysql,potentially_blocked
10.0.1.4,prc-proc01-prd,chrony,,root,10.0.1.5,inf-time01-prd,,123,6,ntpd,,root,potentially_blocked
10.0.1.6,prc-web03-prd,httpd,,root,10.0.1.12,prc-proc02-prd,,8070,6,,,,potentially_blocked
10.0.1.6,prc-web03-prd,,,,10.0.1.12,prc-proc02-prd,,8070,6,java,,tomcat,potentially_blocked
10.0.1.6,prc-web03-prd,,,,10.0.1.4,prc-proc01-prd,,8070,6,java,,tomcat,potentially_blocked
10.0.1.6,prc-web03-prd,httpd,,root,10.0.1.4,prc-proc01-prd,,8070,6,,,,potentially_blocked
10.0.1.6,prc-web03-prd,syslog,,root,10.0.1.3,inf-syslog01-prd,,514,6,,,,potentially_blocked
10.0.1.6,prc-web03-prd,,,,10.0.1.3,inf-syslog01-prd,,514,6,rsyslogd,,root,potentially_blocked
10.0.1.6,prc-web03-prd,chrony,,root,10.0.1.5,inf-time01-prd,,123,6,,,,potentially_blocked
10.0.1.6,prc-web03-prd,,,,10.0.1.5,inf-time01-prd,,123,6,ntpd,,root,potentially_blocked
10.0.1.30,prc-web02-prd,,,,10.0.1.12,prc-proc02-prd,,8070,6,java,,tomcat,potentially_blocked
10.0.1.30,prc-web02-prd,httpd,,root,10.0.1.12,prc-proc02-prd,,8070,6,,,,potentially_blocked
10.0.1.30,prc-web02-prd,,,,10.0.1.3,inf-syslog01-prd,,514,6,rsyslogd,,root,potentially_blocked
10.0.1.30,prc-web02-prd,syslog,,root,10.0.1.3,inf-syslog01-prd,,514,6,,,,potentially_blocked
10.0.1.30,prc-web02-prd,chrony,,root,10.0.1.5,inf-time01-prd,,123,6,,,,potentially_blocked
10.0.1.30,prc-web02-prd,,,,10.0.1.5,inf-time01-prd,,123,6,ntpd,,root,potentially_blocked
10.0.1.21,prc-web01-prd,httpd,,root,10.0.1.12,prc-proc02-prd,,8070,6,,,,potentially_blocked
10.0.1.21,prc-web01-prd,,,,10.0.1.12,prc-proc02-prd,,8070,6,java,,tomcat,potentially_blocked
10.0.1.21,prc-web01-prd,syslog,,root,10.0.1.3,inf-syslog01-prd,,514,6,,,,potentially_blocked
10.0.1.21,prc-web01-prd,,,,10.0.1.3,inf-syslog01-prd,,514,6,rsyslogd,,root,potentially_blocked
10.0.1.21,prc-web01-prd,chrony,,root,10.0.1.5,inf-time01-prd,,123,6,,,,potentially_blocked
10.0.1.21,prc-web01-prd,,,,10.0.1.5,inf-time01-prd,,123,6,ntpd,,root,potentially_blocked
10.0.1.25,ast-web03-prd,httpd,,root,10.0.1.35,ast-proc02-prd,,8070,6,java,,tomcat,potentially_blocked
10.0.1.25,ast-web03-prd,httpd,,root,10.0.1.24,ast-proc01-prd,,8070,6,java,,tomcat,potentially_blocked
10.0.1.25,ast-web03-prd,syslog,,root,10.0.1.3,inf-syslog01-prd,,514,6,,,,potentially_blocked
10.0.1.25,ast-web03-prd,,,,10.0.1.3,inf-syslog01-prd,,514,6,rsyslogd,,root,potentially_blocked
10.0.1.25,ast-web03-prd,,,,10.0.1.5,inf-time01-prd,,123,6,ntpd,,root,potentially_blocked
10.0.1.25,ast-web03-prd,chrony,,root,10.0.1.5,inf-time01-prd,,123,6,,,,potentially_blocked
10.0.1.36,ast-web01-prd,httpd,,root,10.0.1.35,ast-proc02-prd,,8070,6,java,,tomcat,potentially_blocked
10.0.1.36,ast-web01-prd,httpd,,root,10.0.1.24,ast-proc01-prd,,8070,6,java,,tomcat,potentially_blocked
10.0.1.36,ast-web01-prd,syslog,,root,10.0.1.3,inf-syslog01-prd,,514,6,,,,potentially_blocked
10.0.1.36,ast-web01-prd,,,,10.0.1.3,inf-syslog01-prd,,514,6,rsyslogd,,root,potentially_blocked
10.0.1.36,ast-web01-prd,,,,10.0.1.5,inf-time01-prd,,123,6,ntpd,,root,potentially_blocked
10.0.1.36,ast-web01-prd,chrony,,root,10.0.1.5,inf-time01-prd,,123,6,,,,potentially_blocked
10.0.1.8,ast-web02-prd,httpd,,root,10.0.1.35,ast-proc02-prd,,8070,6,java,,tomcat,potentially_blocked
10.0.1.8,ast-web02-prd,httpd,,root,10.0.1.24,ast-proc01-prd,,8070,6,java,,tomcat,potentially_blocked
10.0.1.8,ast-web02-prd,syslog,,root,10.0.1.3,inf-syslog01-prd,,514,6,,,,potentially_blocked
10.0.1.8,ast-web02-prd,,,,10.0.1.3,inf-syslog01-prd,,514,6,rsyslogd,,root,potentially_blocked
10.0.1.8,ast-web02-prd,chrony,,root,10.0.1.5,inf-time01-prd,,123,6,,,,potentially_blocked
10.0.1.8,ast-web02-prd,,,,10.0.1.5,inf-time01-prd,,123,6,ntpd,,root,potentially_blocked
10.0.1.35,ast-proc02-prd,syslog,,root,10.0.1.3,inf-syslog01-prd,,514,6,,,,potentially_blocked
10.0.1.35,ast-proc02-prd,,,,10.0.1.3,inf-syslog01-prd,,514,6,rsyslogd,,root,potentially_blocked
10.0.1.35,ast-proc02-prd,,,,10.0.1.10,ast-db02-prd,,3306,6,mysqld,,mysql,potentially_blocked
10.0.1.35,ast-proc02-prd,java,,tomcat,10.0.1.10,ast-db02-prd,,3306,6,,,,potentially_blocked
10.0.1.35,ast-proc02-prd,java,,tomcat,10.0.1.20,ast-db01-prd,,3306,6,,,,potentially_blocked
10.0.1.35,ast-proc02-prd,,,,10.0.1.20,ast-db01-prd,,3306,6,mysqld,,mysql,potentially_blocked
10.0.1.35,ast-proc02-prd,,,,10.0.1.5,inf-time01-prd,,123,6,ntpd,,root,potentially_blocked
10.0.1.35,ast-proc02-prd,chrony,,root,10.0.1.5,inf-time01-prd,,123,6,,,,potentially_blocked
10.0.1.24,ast-proc01-prd,syslog,,root,10.0.1.3,inf-syslog01-prd,,514,6,,,,potentially_blocked
10.0.1.24,ast-proc01-prd,,,,10.0.1.3,inf-syslog01-prd,,514,6,rsyslogd,,root,potentially_blocked
10.0.1.24,ast-proc01-prd,java,,tomcat,10.0.1.10,ast-db02-prd,,3306,6,,,,potentially_blocked
10.0.1.24,ast-proc01-prd,,,,10.0.1.10,ast-db02-prd,,3306,6,mysqld,,mysql,potentially_blocked
10.0.1.24,ast-proc01-prd,java,,tomcat,10.0.1.20,ast-db01-prd,,3306,6,,,,potentially_blocked
10.0.1.24,ast-proc01-prd,,,,10.0.1.20,ast-db01-prd,,3306,6,mysqld,,mysql,potentially_blocked
10.0.1.24,ast-proc01-prd,chrony,,root,10.0.1.5,inf-time01-prd,,123,6,,,,potentially_blocked
10.0.1.24,ast-proc01-prd,,,,10.0.1.5,inf-time01-prd,,123,6,ntpd,,root,potentially_blocked
10.0.1.10,ast-db02-prd,syslog,,root,10.0.1.3,inf-syslog01-prd,,514,6,,,,potentially_blocked
10.0.1.10,ast-db02-prd,,,,10.0.1.3,inf-syslog01-prd,,514,6,rsyslogd,,root,potentially_blocked
10.0.1.10,ast-db02-prd,,,,10.0.1.5,inf-time01-prd,,123,6,ntpd,,root,potentially_blocked
10.0.1.10,ast-db02-prd,chrony,,root,10.0.1.5,inf-time01-prd,,123,6,,,,potentially_blocked
10.0.1.20,ast-db01-prd,,,,10.0.1.3,inf-syslog01-prd,,514,6,rsyslogd,,root,potentially_blocked
10.0.1.20,ast-db01-prd,syslog,,root,10.0.1.3,inf-syslog01-prd,,514,6,,,,potentially_blocked
10.0.1.20,ast-db01-prd,,,,10.0.1.5,inf-time01-prd,,123,6,ntpd,,root,potentially_blocked
10.0.1.20,ast-db01-prd,chrony,,root,10.0.1.5,inf-time01-prd,,123,6,,,,potentially_blocked
10.0.1.131,swf-web02-prd,,,,10.0.1.142,swf-gw02-prd,,443,6,httpd,,root,potentially_blocked
10.0.1.131,swf-web02-prd,httpd,,root,10.0.1.142,swf-gw02-prd,,443,6,,,,potentially_blocked
10.0.1.131,swf-web02-prd,,,,10.0.1.138,swf-gw01-prd,,443,6,httpd,,root,potentially_blocked
10.0.1.131,swf-web02-prd,httpd,,root,10.0.1.138,swf-gw01-prd,,443,6,,,,potentially_blocked
10.0.1.136,exc-et02-prd,,,,10.0.1.140,exc-mail02-prd,,50636,6,,,root,potentially_blocked
10.0.1.136,exc-et02-prd,,,root,10.0.1.140,exc-mail02-prd,,50636,6,,,,potentially_blocked
10.0.1.136,exc-et02-prd,,,root,10.0.1.134,exc-mail01-prd,,50636,6,,,,potentially_blocked
10.0.1.136,exc-et02-prd,,,,10.0.1.134,exc-mail01-prd,,50636,6,,,root,potentially_blocked
10.0.1.139,exc-et01-prd,,,,10.0.1.140,exc-mail02-prd,,50636,6,,,root,potentially_blocked
10.0.1.139,exc-et01-prd,,,root,10.0.1.140,exc-mail02-prd,,50636,6,,,,potentially_blocked
10.0.1.139,exc-et01-prd,,,root,10.0.1.134,exc-mail01-prd,,50636,6,,,,potentially_blocked
10.0.1.139,exc-et01-prd,,,,10.0.1.134,exc-mail01-prd,,50636,6,,,root,potentially_blocked
10.0.1.140,exc-mail02-prd,,,root,10.0.1.134,exc-mail01-prd,,50636,6,,,,potentially_blocked
10.0.1.140,exc-mail02-prd,,,,10.0.1.134,exc-mail01-prd,,50636,6,,,root,potentially_blocked
10.0.1.140,exc-mail02-prd,mysqld,,mysql,10.10.100.225,,,3306,6,,,,potentially_blocked
10.0.1.140,exc-mail02-prd,mysqld,,mysql,10.10.100.224,,,3306,6,,,,potentially_blocked
10.0.1.134,exc-mail01-prd,,,,10.0.1.140,exc-mail02-prd,,50636,6,,,root,potentially_blocked
10.0.1.134,exc-mail01-prd,,,root,10.0.1.140,exc-mail02-prd,,50636,6,,,,potentially_blocked
10.0.1.134,exc-mail01-prd,mysqld,,mysql,10.10.100.225,,,3306,6,,,,potentially_blocked
10.0.1.134,exc-mail01-prd,mysqld,,mysql,10.10.100.224,,,3306,6,,,,potentially_blocked
10.0.1.32,acd-dc02-prd,lsass.exe,,NT AUTHORITY\SYSTEM,10.0.1.22,acd-dc01-prd,,88,6,lsass.exe,Kdc,SYSTEM,allowed
10.0.1.32,acd-dc02-prd,System,,NT AUTHORITY\SYSTEM,10.0.1.22,acd-dc01-prd,,445,6,System,SMB,System,allowed
10.0.1.32,acd-dc02-prd,taskhost.exe,,NT AUTHORITY\SYSTEM,10.0.1.22,acd-dc01-prd,,389,6,lsass.exe,LDAPServer,SYSTEM,allowed
10.0.1.32,acd-dc02-prd,lsass.exe,,NT AUTHORITY\SYSTEM,10.0.1.22,acd-dc01-prd,,135,6,svchost.exe,RpcSs,NETWORK SERVICE,allowed
10.0.1.32,acd-dc02-prd,svchost.exe,,NT AUTHORITY\LOCAL SERVICE,10.0.1.22,acd-dc01-prd,,123,17,svchost.exe,W32Time,NT AUTHORITY\LOCAL SERVICE,allowed
10.0.1.130,acd-dc03-prd,lsass.exe,,NT AUTHORITY\SYSTEM,10.0.1.22,acd-dc01-prd,,88,6,lsass.exe,Kdc,SYSTEM,allowed
10.0.1.130,acd-dc03-prd,System,,NT AUTHORITY\SYSTEM,10.0.1.22,acd-dc01-prd,,445,6,System,SMB,System,allowed
10.0.1.130,acd-dc03-prd,taskhost.exe,,NT AUTHORITY\SYSTEM,10.0.1.22,acd-dc01-prd,,389,6,lsass.exe,LDAPServer,SYSTEM,allowed
10.0.1.130,acd-dc03-prd,lsass.exe,,NT AUTHORITY\SYSTEM,10.0.1.22,acd-dc01-prd,,135,6,svchost.exe,RpcSs,NETWORK SERVICE,allowed
10.0.1.130,acd-dc03-prd,svchost.exe,,NT AUTHORITY\LOCAL SERVICE,10.0.1.22,acd-dc01-prd,,123,17,svchost.exe,W32Time,NT AUTHORITY\LOCAL SERVICE,allowed
10.0.1.22,acd-dc01-prd,lsass.exe,,NT AUTHORITY\SYSTEM,10.0.1.32,acd-dc02-prd,,88,6,lsass.exe,Kdc,SYSTEM,allowed
10.0.1.22,acd-dc01-prd,System,,NT AUTHORITY\SYSTEM,10.0.1.32,acd-dc02-prd,,445,6,System,SMB,System,allowed
10.0.1.22,acd-dc01-prd,taskhost.exe,,NT AUTHORITY\SYSTEM,10.0.1.32,acd-dc02-prd,,389,6,lsass.exe,LDAPServer,SYSTEM,allowed
10.0.1.22,acd-dc01-prd,lsass.exe,,NT AUTHORITY\SYSTEM,10.0.1.32,acd-dc02-prd,,135,6,svchost.exe,RpcSs,NETWORK SERVICE,allowed
10.0.1.22,acd-dc01-prd,svchost.exe,,NT AUTHORITY\LOCAL SERVICE,10.0.1.32,acd-dc02-prd,,123,17,svchost.exe,W32Time,NT AUTHORITY\LOCAL SERVICE,allowed
10.0.1.141,swf-web01-prd,httpd,,root,10.0.1.142,swf-gw02-prd,,443,6,,,,potentially_blocked
10.0.1.141,swf-web01-prd,,,,10.0.1.142,swf-gw02-prd,,443,6,httpd,,root,potentially_blocked
10.0.1.141,swf-web01-prd,,,,10.0.1.138,swf-gw01-prd,,443,6,httpd,,root,potentially_blocked
10.0.1.141,swf-web01-prd,httpd,,root,10.0.1.138,swf-gw01-prd,,443,6,,,,potentially_blocked
10.0.1.142,swf-gw02-prd,httpd,,root,35.234.138.138,,api.swift.com,443,6,,,,potentially_blocked
10.0.1.34,inf-nagios01-prd,,,,10.0.1.26,prc-db02-prd,,5666,6,nrpe,,nagios,potentially_blocked
10.0.1.34,inf-nagios01-prd,nrpe,,root,10.0.1.26,prc-db02-prd,,5666,6,,,,potentially_blocked
10.0.1.34,inf-nagios01-prd,,,,10.0.1.17,prc-db01-prd,,5666,6,nrpe,,nagios,potentially_blocked
10.0.1.34,inf-nagios01-prd,nrpe,,root,10.0.1.17,prc-db01-prd,,5666,6,,,,potentially_blocked
10.0.1.34,inf-nagios01-prd,nrpe,,root,10.0.1.12,prc-proc02-prd,,5666,6,,,,potentially_blocked
10.0.1.34,inf-nagios01-prd,,,,10.0.1.12,prc-proc02-prd,,5666,6,nrpe,,nagios,potentially_blocked
10.0.1.34,inf-nagios01-prd,nrpe,,root,10.0.1.4,prc-proc01-prd,,5666,6,,,,potentially_blocked
10.0.1.34,inf-nagios01-prd,,,,10.0.1.4,prc-proc01-prd,,5666,6,nrpe,,nagios,potentially_blocked
